Date,open,high,low,close,adjclose,volume,ticker
04-01-2016,37.15000153,37.20299911,36.56290054,37.09199905,37.09199905,65456000,GOOG
05-01-2016,37.32249832,37.59999847,36.93199921,37.12900162,37.12900162,39014000,GOOG
06-01-2016,36.5,37.35900116,36.44599915,37.18099976,37.18099976,38940000,GOOG
07-01-2016,36.51549911,36.92499924,35.95299911,36.31949997,36.31949997,59274000,GOOG
08-01-2016,36.57249832,36.66149902,35.65000153,35.7234993,35.7234993,49018000,GOOG
11-01-2016,35.83050156,35.94274902,35.17699814,35.80149841,35.80149841,41812000,GOOG
12-01-2016,36.08399963,36.4375,35.86584854,36.30350113,36.30350113,40490000,GOOG
13-01-2016,36.54249954,36.73699951,34.93050003,35.02799988,35.02799988,50034000,GOOG
14-01-2016,35.26900101,36.09624863,34.45500183,35.73600006,35.73600006,44516000,GOOG
15-01-2016,34.61449814,35.3370018,34.26850128,34.72249985,34.72249985,72162000,GOOG
19-01-2016,35.16500092,35.49900055,34.67050171,35.08950043,35.08950043,45362000,GOOG
20-01-2016,34.43050003,35.34249878,33.6629982,34.92250061,34.92250061,68900000,GOOG
21-01-2016,35.10900116,35.95949936,34.72299957,35.32949829,35.32949829,48244000,GOOG
22-01-2016,36.18000031,36.40650177,36.00605011,36.26250076,36.26250076,40236000,GOOG
25-01-2016,36.17900085,36.48400116,35.50049973,35.58349991,35.58349991,34234000,GOOG
26-01-2016,35.69250107,35.91400146,35.32400131,35.65200043,35.65200043,26634000,GOOG
27-01-2016,35.68349838,35.91175079,34.7195015,34.99950027,34.99950027,43884000,GOOG
28-01-2016,36.11100006,36.68450165,35.61750031,36.54800034,36.54800034,53528000,GOOG
29-01-2016,36.57649994,37.24950027,36.34000015,37.14749908,37.14749908,69486000,GOOG
01-02-2016,37.52299881,37.89300156,37.16350174,37.59999847,37.59999847,102784000,GOOG
02-02-2016,39.22499847,39.49349976,38.23249817,38.23249817,38.23249817,126962000,GOOG
03-02-2016,38.51100159,38.72499847,36.02500153,36.34749985,36.34749985,123420000,GOOG
04-02-2016,36.14049911,36.34999847,35.0929985,35.40050125,35.40050125,103374000,GOOG
05-02-2016,35.19350052,35.19950104,34.00749969,34.17850113,34.17850113,102114000,GOOG
08-02-2016,33.39250183,34.20149994,33.15299988,34.13700104,34.13700104,84948000,GOOG
09-02-2016,33.61600113,34.99499893,33.43849945,33.9054985,33.9054985,72178000,GOOG
10-02-2016,34.3429985,35.06549835,34.10649872,34.20600128,34.20600128,52760000,GOOG
11-02-2016,33.75,34.46749878,33.44340134,34.1554985,34.1554985,60480000,GOOG
12-02-2016,34.51300049,34.6875,33.93000031,34.11999893,34.11999893,42828000,GOOG
16-02-2016,34.64899826,34.90000153,34.25249863,34.54999924,34.54999924,50400000,GOOG
17-02-2016,34.90449905,35.48749924,34.56900024,35.41999817,35.41999817,49852000,GOOG
18-02-2016,35.5,35.61750031,34.80149841,34.86750031,34.86750031,37664000,GOOG
19-02-2016,34.75149918,35.15404892,34.70249939,35.04550171,35.04550171,31786000,GOOG
22-02-2016,35.37250137,35.66199875,35.12549973,35.32300186,35.32300186,38996000,GOOG
23-02-2016,35.07249832,35.41999817,34.67900085,34.79249954,34.79249954,40186000,GOOG
24-02-2016,34.44599915,35,34.03900146,34.97800064,34.97800064,39272000,GOOG
25-02-2016,35.00049973,35.29899979,34.5292511,35.28749847,35.28749847,32844000,GOOG
26-02-2016,35.42900085,35.67150116,35.04299927,35.25350189,35.25350189,44870000,GOOG
29-02-2016,35.01599884,35.54449844,34.88399887,34.88850021,34.88850021,49622000,GOOG
01-03-2016,35.18099976,35.94049835,34.98849869,35.94049835,35.94049835,43028000,GOOG
02-03-2016,35.95000076,36,35.59999847,35.94250107,35.94250107,32580000,GOOG
03-03-2016,35.93399811,35.97249985,35.30099869,35.62099838,35.62099838,39160000,GOOG
04-03-2016,35.74950027,35.82450104,35.30099869,35.54449844,35.54449844,39442000,GOOG
07-03-2016,35.34500122,35.40454865,34.34500122,34.75799942,34.75799942,59702000,GOOG
08-03-2016,34.42950058,35.1894989,34.26699829,34.69850159,34.69850159,41526000,GOOG
09-03-2016,34.92350006,35.2840004,34.70000076,35.26200104,35.26200104,28430000,GOOG
10-03-2016,35.40599823,35.8219986,35.16799927,35.64099884,35.64099884,56670000,GOOG
11-03-2016,36,36.34600067,35.85625076,36.3409996,36.3409996,39416000,GOOG
14-03-2016,36.34049988,36.77500153,36.25749969,36.5245018,36.5245018,34366000,GOOG
15-03-2016,36.34600067,36.61449814,36.23849869,36.41650009,36.41650009,34420000,GOOG
16-03-2016,36.31850052,36.87350082,36.2254982,36.80450058,36.80450058,32488000,GOOG
17-03-2016,36.82249832,37.1534996,36.79999924,36.88899994,36.88899994,37216000,GOOG
18-03-2016,37.0929985,37.09999847,36.59149933,36.88000107,36.88000107,59614000,GOOG
21-03-2016,36.82500076,37.125,36.67580032,37.10449982,37.10449982,36730000,GOOG
22-03-2016,36.8730011,37.25,36.8730011,37.03749847,37.03749847,25394000,GOOG
23-03-2016,37.11800003,37.2859993,36.80749893,36.90299988,36.90299988,28642000,GOOG
24-03-2016,36.6004982,36.88734818,36.54999924,36.76499939,36.76499939,31898000,GOOG
28-03-2016,36.83950043,36.94950104,36.625,36.67649841,36.67649841,26026000,GOOG
29-03-2016,36.72949982,37.36249924,36.43799973,37.23849869,37.23849869,38076000,GOOG
30-03-2016,37.50500107,37.89400101,37.43700027,37.5265007,37.5265007,35648000,GOOG
31-03-2016,37.46250153,37.54249954,37.04700089,37.24750137,37.24750137,34376000,GOOG
01-04-2016,36.93000031,37.51699829,36.84999847,37.49549866,37.49549866,31534000,GOOG
04-04-2016,37.50299835,37.63999939,37.12149811,37.26449966,37.26449966,22684000,GOOG
05-04-2016,36.90000153,37.13999939,36.76850128,36.88999939,36.88999939,22646000,GOOG
06-04-2016,36.78850174,37.31200027,36.77799988,37.28450012,37.28450012,21074000,GOOG
07-04-2016,37.26850128,37.34999847,36.81399918,37.01399994,37.01399994,29064000,GOOG
08-04-2016,37.19850159,37.27249908,36.77750015,36.95750046,36.95750046,25816000,GOOG
11-04-2016,37.15100098,37.25,36.80250168,36.80500031,36.80500031,24402000,GOOG
12-04-2016,36.90000153,37.19150162,36.55049896,37.15449905,37.15449905,27060000,GOOG
13-04-2016,37.45800018,37.71900177,37.21305084,37.58599854,37.58599854,34142000,GOOG
14-04-2016,37.70050049,37.8655014,37.63525009,37.65999985,37.65999985,22706000,GOOG
15-04-2016,37.69900131,38.04999924,37.63470078,37.95000076,37.95000076,36186000,GOOG
18-04-2016,38.02299881,38.40250015,37.86500168,38.33050156,38.33050156,31176000,GOOG
19-04-2016,38.4754982,38.49499893,37.46649933,37.69649887,37.69649887,40610000,GOOG
